feature,importance
feature_10,0.21399024
feature_17,0.20927647
feature_4,0.13535298
feature_8,0.09012645
feature_13,0.06805145
feature_28,0.06769703
feature_24,0.03459217
feature_20,0.033777848
feature_1,0.03129354
feature_12,0.026828378
feature_27,0.014227208
feature_16,0.013450668
feature_0,0.0134294275
feature_15,0.011232376
feature_14,0.010602398
feature_19,0.0053756232
feature_11,0.004357923
feature_9,0.0037812602
feature_18,0.0036652484
feature_5,0.0027870124
feature_3,0.002689653
feature_2,0.0017796775
feature_23,0.0005432878
feature_21,0.00039069745
feature_25,0.00021446336
feature_22,0.00020595628
feature_26,0.00018668175
feature_7,6.963442e-05
feature_6,2.4293613e-05
