feature,importance
feature_28,0.17323603
feature_16,0.1497633
feature_8,0.119695865
feature_0,0.11816659
feature_11,0.087462194
feature_12,0.049896766
feature_4,0.04558528
feature_15,0.044829983
feature_17,0.03513422
feature_27,0.023674583
feature_14,0.020740824
feature_5,0.019483646
feature_24,0.017769678
feature_13,0.015696092
feature_2,0.014348735
feature_20,0.014030347
feature_18,0.012102533
feature_9,0.011234479
feature_3,0.0088478215
feature_19,0.005271713
feature_1,0.0031074628
feature_10,0.0029948016
feature_7,0.00295015
feature_23,0.0011461921
feature_25,0.0010120323
feature_22,0.0007079179
feature_21,0.0006599169
feature_26,0.00041824856
feature_6,3.263816e-05
